Counter	Image	Merger	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
0	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_005.fits	0	0.05	0	1	0	0	0.5010297605431042	-1.871821590931181	2.978062428424111	-0.0416022082889953	-0.006316899979760607	1.3162	0.0850810548495171
1	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_030.fits	0	0.29	0	1	0	0	0.5244275436062559	-1.855839253846012	2.8934289729180023	0.005235083907231738	0.004950360429260348	1.2207	0.09457200960766282
2	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_060.fits	0	0.59	0	1	0	0	0.515095188753267	-1.8601602177428453	2.8487769837882873	-0.006938184763605747	-0.00011618082482592562	1.2074	0.07847421985877089
3	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_090.fits	0	0.88	0	1	0	0	0.49154982379193257	-1.8205680136360471	2.851372106250088	0.021628421028657276	0.007902656139563702	1.1881	0.1226205418507097
4	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_100.fits	0	0.98	0	1	0	0	0.4938372693814579	-1.7913153431669204	2.770675906173245	0.03601329926110892	0.008988534158330867	1.1024	0.11280736838986279
5	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_120.fits	0	1.17	0	1	0	0	0.5028915677511111	-1.818680489220163	2.7880195130619128	-0.0053041753729550604	0.004390959263276616	1.1181	0.10259237174427493
6	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_150.fits	0	1.47	0	1	0	0	0.5063563300526662	-1.829110754839734	2.7951856099279153	-0.01242112144798716	0.0036428575342286164	1.1008	0.11783711492728233
7	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_180.fits	0	1.76	0	1	0	0	0.5025662906900747	-1.8476699450932488	2.8098835858100655	-0.014503472431172467	0.006883907492150365	1.1523	0.13498239253064184
8	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_200.fits	0	1.96	0	1	0	0	0.5067715244920314	-1.8373367639670548	2.7883310160089163	-0.008623692835502742	0.00587467167609736	1.1233	0.10024432111096264
9	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_005.fits	0	0.05	1	1	0	0	0.4831701366825912	-1.8256931477643832	2.9466228885165524	-0.0188547189665154	0.0015523526298307307	1.1465	0.05269782831634476
10	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_030.fits	0	0.29	1	1	0	0	0.529240243956875	-1.816361797069872	2.871592890504881	0.0015281143785168677	-0.0004259866872533619	1.0616	0.06578604838775957
11	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_060.fits	0	0.59	1	1	0	0	0.5129867597796139	-1.830555348369515	2.871410620200594	0.013574922651909722	0.001941374422062602	1.0648	0.08463148247204619
12	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_090.fits	0	0.88	1	1	0	0	0.5181777387579318	-1.796884307107422	2.850392928490719	0.021271667381381906	0.004600944530175955	1.0446	0.09242867640654305
13	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_100.fits	0	0.98	1	1	0	0	0.4758789154986486	-1.7395113383082852	2.769508117040906	0.02882125594333257	0.013155039351634642	0.9876	0.09310006411486163
14	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_120.fits	0	1.17	1	1	0	0	0.5000208969661077	-1.7902434861128906	2.8375767244150585	-0.012779485830281045	0.0033826182101333487	1.009	0.07865873070737092
15	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_150.fits	0	1.47	1	1	0	0	0.4874987833548134	-1.7900224173859096	2.812312547012507	0.0020141262607909793	0.005740800313046678	0.9925	0.07887566731317987
16	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_180.fits	0	1.76	1	1	0	0	0.492374579489468	-1.8451596733860411	2.838304019493213	-0.016472474931819928	0.006794225886561517	1.0343	0.0709228299360441
17	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_200.fits	0	1.96	1	1	0	0	0.5013990386772588	-1.7926073552297457	2.8128183506294513	-0.007941520158469526	0.0014729120858269957	1.0116	0.09519246036591818
18	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_005.fits	0	0.05	2	1	0	0	0.5005524721405573	-1.8331063268376113	2.929606076986912	-0.04216928634263509	-0.0012435659520066392	1.1461	0.04766398450631427
19	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_030.fits	0	0.29	2	1	0	0	0.5189723070166358	-1.8375885527777116	2.875280475839739	-0.02625419237082828	0.004105885874252926	1.0432	0.07718930150268152
20	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_060.fits	0	0.59	2	1	0	0	0.5137883377679258	-1.8170701636367013	2.8333530154278623	0.01497450350440516	0.011546221921682325	1.0244	0.097127049417887
21	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_090.fits	0	0.88	2	1	0	0	0.5188142589758146	-1.8547693485510943	2.8303794275016547	-0.0010055340903349316	-0.0005797000334648835	1.0418	0.08925633922085417
22	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_100.fits	0	0.98	2	1	0	0	0.473547999209228	-1.8126800438164814	2.84073918119104	-0.001537302436673791	0.0026138887510106933	1.0118	0.09799954906211363
23	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_120.fits	0	1.17	2	1	0	0	0.5037315910085711	-1.7948974437324827	2.820975299326191	-0.021586611726378088	0.004000595222946032	0.9955	0.06531834342256486
24	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_150.fits	0	1.47	2	1	0	0	0.4871201768036045	-1.808152350679894	2.8261811430130077	-0.0030827273986410125	0.0013574015377592178	0.9878	0.06961904916594887
25	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_180.fits	0	1.76	2	1	0	0	0.49106679553669597	-1.7983533452590563	2.8447071457703355	-0.035740479638713275	0.0036420232277844505	1.0111	0.06243105854094402
26	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_200.fits	0	1.96	2	1	0	0	0.48358571828384306	-1.805177483479141	2.810372255764836	-0.015850431404643785	0.0028599426642352687	0.9884	0.09406884900548619
27	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_005.fits	0	0.05	3	1	0	0	0.5001741369856979	-1.8495882337245404	2.9620068709844585	-0.027112712879686893	-0.0010752047320565323	1.1555	0.07133230520416738
28	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_030.fits	0	0.29	3	1	0	0	0.513998964621736	-1.8239611610573245	2.882972451418463	-0.02391421080940932	-0.0008112147560998115	1.0356	0.07865153428687559
29	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_060.fits	0	0.59	3	1	0	0	0.5178652922323644	-1.8616884056071805	2.850174503325089	0.0027287879315647857	-7.435148843814532e-05	1.0575	0.05697527501714955
30	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_090.fits	0	0.88	3	1	0	0	0.503489966969969	-1.863526559536339	2.9193038626044254	0.01615261411873125	0.0015024771198292345	1.0743	0.10624019026235337
31	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_100.fits	0	0.98	3	1	0	0	0.4788447013069659	-1.8356071649439132	2.899031877392386	0.013749063287358955	0.00447503771527218	0.9909	0.11058412695769956
32	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_120.fits	0	1.17	3	1	0	0	0.5102340331218341	-1.8487248810014665	2.835946549866803	0.008474900745597974	0.0025212619399017024	0.9841	0.0472740532912605
33	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_150.fits	0	1.47	3	1	0	0	0.49019609882297555	-1.8310876215098721	2.8396743525994035	-0.010856632926363428	0.0011658927173456147	0.9814	0.09725753226487205
34	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_180.fits	0	1.76	3	1	0	0	0.48758236776807873	-1.7959157459101194	2.802198545324821	-0.015225597822018839	0.004177780997753683	1.0015	0.10128212861873573
35	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_200.fits	0	1.96	3	1	0	0	0.48868641874499413	-1.7683027941587046	2.7970399724839243	0.01440973038952294	0.00843078031592973	0.9847	0.08860420100816431
36	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_005.fits	0	0.05	4	1	0	0	0.5301756854507361	-1.9215559326029799	2.998352128650954	-0.031000667760848585	-0.030550111422561213	1.4616	0.06778898301422989
37	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_030.fits	0	0.29	4	1	0	0	0.5429527897472475	-1.9082289444195066	2.9419097463906003	-0.020199303499232976	-0.009329504782781906	1.405	0.06639271459633574
38	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_060.fits	0	0.59	4	1	0	0	0.5385771628958245	-1.9098880081507743	2.876680205351417	0.002934555666824482	0.007156417631738249	1.3417	0.08176517679679936
39	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_090.fits	0	0.88	4	1	0	0	0.48576580260449764	-1.8644393525615826	2.873328780509992	-0.002101059424740978	0.007013680412058716	1.3184	0.10263901869226154
40	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_100.fits	0	0.98	4	1	0	0	0.5127217900193929	-1.8650365935833224	2.855721833263674	-0.005954323519998421	-0.00012437806467230293	1.2347	0.12405595818856084
41	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_120.fits	0	1.17	4	1	0	0	0.49894634159943374	-1.8473862485739074	2.8250311346426566	-0.031542691449853444	-0.005789347201747149	1.2576	0.0774746277879817
42	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_150.fits	0	1.47	4	1	0	0	0.5128174708892171	-1.8574752343680276	2.8182543624998275	-0.00351079228537988	-0.003388901874257034	1.2272	0.10424052378294212
43	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_180.fits	0	1.76	4	1	0	0	0.5167171900505592	-1.8489958539442108	2.8127401822300864	-0.030705530261299158	-0.005740697933716714	1.266	0.1100594648439533
44	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_200.fits	0	1.96	4	1	0	0	0.5254635362335924	-1.8519434595644169	2.78800155484816	-0.04432934735528135	-0.026384544339771127	1.289	0.07120046712777292
45	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_005.fits	0	0.05	5	1	0	0	0.5340233080650854	-1.9265339136815176	2.9936967367198526	-0.05393786490952315	-0.033022772586045634	1.4781	0.05886716279509636
46	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_030.fits	0	0.29	5	1	0	0	0.5316908659763364	-1.893258192230385	2.9340129941792266	-0.02722554785406721	-0.0051834577638271845	1.3791	0.13567871804026713
47	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_060.fits	0	0.59	5	1	0	0	0.4999509972969267	-1.8798469565071845	2.8809684625017233	-0.038396974884700355	-0.0040243070762368445	1.3353	0.13056945589675634
48	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_090.fits	0	0.88	5	1	0	0	0.48963339288283475	-1.8703124211023459	2.874898932547545	0.0030919422447933465	0.009958586591052301	1.3194	0.11818665197556659
49	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_100.fits	0	0.98	5	1	0	0	0.5124369249537095	-1.8651553162629688	2.8719246340401945	0.014345313258103117	0.012386937978085384	1.2516	0.10531951167286574
50	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_120.fits	0	1.17	5	1	0	0	0.506698814137167	-1.8515819499193933	2.827417672254176	-0.001648243288814624	0.005289221546276183	1.2598	0.10567213923289416
51	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_150.fits	0	1.47	5	1	0	0	0.5274362109468478	-1.8664416425594457	2.8198053631474362	0.0008162777476813564	-0.011781850052595194	1.2206	0.11253349537764397
